,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
0,TU,0,3.842015921950656,3.5510418083316706,2.7084089484536085,3.5919243386254283,2.705447646597937,3.0793976597938144,3.4775609821305853,19.74936608817868,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.4099796532386666
1,TU,0,2.2012864589425973,1.7634922511111097,1.7180334020618562,2.269206838487971,2.521836123711339,1.856968845360825,1.8112864604810994,11.35791803436426,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.8874538528288887
2,TU,0,1.5821449365558928,1.4928562799999983,1.3495877663230245,1.3452917525773198,1.3343579381443298,1.341790446735394,1.3338176632302403,11.287488859106528,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.5280213077777778
3,TU,0,1.5088973342396759,1.402670705555553,1.5117381443298972,1.8360273402061855,2.196288048109966,1.493253058419245,1.472912439862542,9.135891615120263,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.4645892048666667
4,TU,0,2.003342922054382,2.710864085572788,2.1879664536082477,2.406770865979382,2.896213674652922,3.2166015528384877,3.4252035560137446,16.313999866941575,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,2.5108617487268887
5,TU,10,2.166015886092649,1.3567905639444464,2.1056708912714766,1.8918080481099646,2.0040489587628874,2.073062301030928,2.083765251546391,2.167467268316151,1.6016854707903778,2.186996501718212,1.7974088591065287,2.039268728522336,2.2490246048109963,0,0,0,0,0,0,0,1.7384904203577778
6,TU,10,2.6835378608257825,1.4001572538888911,1.971718536082475,1.7756834707903775,1.6173243505154642,1.4990301030927835,1.587040343642611,1.5417757388316147,1.6142723024054986,1.5938572508591065,1.4865515463917516,1.4682946391752578,2.334789278350516,0,0,0,0,0,0,0,1.7500845039555557
7,TU,10,2.57460813003021,1.4620412166666674,2.471562057182131,2.369369658419245,2.1291175099656368,2.3645683085910654,2.6186930838487954,2.077257127835052,1.4424965635738831,1.5355077044673537,2.1953268971134015,1.3823526460481106,2.9407242268041243,0,0,0,0,0,0,0,1.9136522310377777
8,TU,10,1.4369717220543816,1.3695749388888927,1.5890235738831613,1.5756496632302406,1.513406804123712,1.4513503780068726,1.5056070790378004,1.7941612989690723,1.8000165841924385,1.526593958762887,1.5155658419243991,1.6994862886597932,2.3605109278350493,0,0,0,0,0,0,0,1.4576361097777777
9,TU,10,2.227772777089627,1.7230666633166658,2.076840683848797,1.8856314900343654,1.6827453608247422,1.6620183505154638,1.6234775257731962,1.62678178694158,1.5647288659793819,1.4915041924398622,1.4583180756013747,1.5479162199312722,3.501193587628865,0,0,0,0,0,0,0,1.8314059066488884
