,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
0,TU,0,4.088782820049683,3.3811264153369964,2.95622761992403,3.909181927994624,3.5655277752393446,4.310697223641264,4.124972235393047,5.811385390387834,2.6287119316053977,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.5317817413135164
1,TU,0,4.267697223299024,2.6225882395895614,5.805928991396213,3.303643163347986,3.253873902913244,1.5440619156781332,1.4622331744148327,3.3533345454215526,3.2013817746768662,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.1739088596424283
2,TU,0,6.007343057268193,4.973933781211521,1.4237345757668693,5.280867587060513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.2181923605975573
3,TU,0,2.232598081770386,0.7643049193905287,0.44924404058860845,5.709856784092136,6.980747174387403,0.6610116257644525,0.35495896898935614,0.42831381111364736,0.057088234232876935,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6079250805031585
4,TU,0,3.8958928675364493,3.156849317787753,4.854093102240058,3.788853427229415,5.147010554914692,2.7672078129067463,5.056791377538326,5.225672960882675,3.358443797710667,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.6058619282346367
5,TU,10,4.329118585819032,3.708038039189047,5.7089575297855815,10.637075146264147,9.528543551328376,9.439202855211688,6.9207984216698835,11.400864873169418,7.314173886367003,8.40165532880238,9.250931288562407,4.998200142866977,0.024479027377136975,0,0,0,0,0,0,0,3.7411352954096873
6,TU,10,3.0244343557469455,4.343333956693395,4.522080779634282,10.236798570096633,9.77897702190122,8.447460675999244,10.075219569096529,9.099643094761186,8.622441434875476,5.648841449988035,6.976589291322625,4.355316198853311,0.03773458094291025,0,0,0,0,0,0,0,3.514872378241081
7,TU,10,3.2688399308596723,1.5194081972526403,7.039963788221021,3.664928418691941,4.765671148616862,4.4067026018215305,5.756759242326242,5.889643900346313,1.401807523833377,3.976361956082459,7.28545086578056,3.193191336602972,2.9016038663329486,0,0,0,0,0,0,0,2.5432154479114426
8,TU,10,5.524288483509944,2.621573956252772,6.757170741264128,5.209391135581157,7.892977096129222,6.604182732579702,5.493620707934781,5.821567584108497,5.801671742308119,4.870695277123539,4.359351050201041,5.096960779858503,0.04753446597747309,0,0,0,0,0,0,0,2.222220859652369
9,TU,10,5.7213581866093435,4.910203454766145,4.5553354014557605,4.850718680049801,7.772894221034127,8.071334169171442,8.057745675913559,8.893988733010362,8.61235771393618,6.063777205026462,5.956762620969776,4.817787669229806,3.9698748547743037,0,0,0,0,0,0,0,5.61692485195383
