,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,total
0,TU,0,6.079271837566118,3.5981670683917004,3.851846285190096,0.7746027761948294,0.3626993797844639,0.4492940482996796,1.7724208979316927,0.4719349112736153,3.4573809522661145,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.491612888469239
1,TU,0,6.315191863783969,4.347051267710696,7.4846785403311475,4.804277192787084,4.01314351756746,9.040887531317,7.412166254740442,10.209570412439582,4.031793787948927,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,4.994590065460546
2,TU,0,4.137594698926782,3.466364739325284,5.871988864914677,5.172520081461612,2.9931017768431114,3.1041084150111797,3.547056851677432,3.0327980704240227,3.6188077396238847,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.384727339529108
3,TU,0,1.2887573003845139,1.9340482765060674,1.4609677653861466,3.596133965156154,1.38769371713221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.7206552831482185
4,TU,0,5.647206399456221,4.635421580706399,5.703070575805002,5.989221268182332,1.6844333707285373,0.3720625874049398,4.794197877719956,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.9918456399708298
5,TU,10,0.9789209873063568,1.5640404639976115,6.637765682845418,14.459061676419285,9.640565133385628,7.174486119812402,4.769649581406952,5.630175748926501,7.630937183671252,7.157580260590168,4.292572214750879,4.618558275434324,0.020429347774129875,0,0,0,0,0,0,0,2.1329707855459747
6,TU,10,0.07857701439091871,0.3779356818251043,12.741195229598755,11.366122882216754,4.922674407887627,2.7056544420785884,3.777770858953134,4.700812692530914,0.02099615059906638,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0873112990270375
7,TU,10,0.06602441155977613,3.227724465413986,9.593746710763234,8.716977211590018,9.59360920711908,11.205981570919743,8.5309008856717,8.904581872655715,6.477912985331962,8.251494625642913,7.675889090999536,6.392865998495062,0.04879314567983904,0,0,0,0,0,0,0,2.560677501857032
8,TU,10,5.289538918459161,2.7416584940463964,7.720764076425135,9.616714626934227,6.965855608739132,5.27827922729271,5.447197081622635,3.946680386780621,9.807653240105457,7.2899254939982425,5.604018417076933,4.7344529956170875,0.026852511608115262,0,0,0,0,0,0,0,3.284579333354091
9,TU,10,5.29224893925684,4.6019426278849895,9.09298252023655,9.045772286256035,9.93091134376291,7.491081401318567,8.657216147408791,10.505266360407793,5.743635280874574,8.444729520022953,5.393700615845722,4.0155139823741965,0.020917572214855778,0,0,0,0,0,0,0,2.735542247243508
10,StAR:bPAC+,0,2.906990819260719,2.95863480762823,2.809662048833175,3.1090285614415456,3.8943537350705344,2.2105673140509765,3.026474449729877,2.8130750220779848,3.382264958710081,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,3.029336573543694
