,Strain,Treatment,Pre_stress,Post_stress,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
0,TU,0,6.866975029209912,4.777113484877828,3.8842585528361457,7.8873414606928485,0.32502598765281465,4.003642520594559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,TU,0,7.139073797975444,7.542378517664854,9.37555913737169,9.194589859742823,11.694762114098598,10.28999041802997,7.648559258486733,12.022819988624732,6.066673489721219,0.0,0.0,0.0,0.0,0
2,TU,0,2.275277814362983,5.446988814962888,7.361863661134098,3.1731530030506914,6.042681698163835,3.19611813861507,2.8400216987107583,3.057237358072392,5.48242850112222,0.0,0.0,0.0,0.0,0
3,TU,0,0.06090554326881639,0.5885614639114417,0.011139078725032973,0.008409054191688647,0.008526377476354869,0.006526580944374664,0.012076396982557849,3.189364145558419,0.2275568899630499,0.0,0.0,0.0,0.0,0
4,TU,0,3.889541925004966,3.877322890478988,4.22257418564627,7.91471177400581,1.5119181623838767,0.6681003978887725,0.00454267918454549,0.004762069661376396,5.2553328343255865,0.0,0.0,0.0,0.0,0
5,TU,10,0.024073915990822214,0.016316940616716593,2.9185486589420546,9.727098148274058,6.205089201037656,2.8687313927415,1.5945446444070743,1.7781235581312118,3.0032466642690174,3.474010687101442,2.158373405302862,1.8693748277851983,0.0018702465721872044,0
6,TU,10,0.0024434221336193667,0.005443220308979025,0.03106763593982807,4.8782021410678915,7.045710109667213,6.952940152663362,3.3344237600644178,0.5407738056982503,6.434596975888984,0.02975133203194326,0.008369160140553262,0.006593248733682399,0.005975343648187548,0
7,TU,10,0.0032800129793470437,0.05993112636988266,3.6654196350504953,3.72019395200667,5.057875906219063,7.092377720796105,14.287142464174687,5.757075745987935,2.980763423934785,4.2375866027239555,4.8694780281594054,9.617572582266824,0.004104664815082216,0
8,TU,10,4.704492701868018,0.08431615484093151,4.185794906423228,5.715986230364128,7.3637548679456515,3.562240601192241,1.903021253798968,5.815619360068761,2.5135357544293098,10.623371041126225,6.682610985644546,4.02965774243965,0.0023975530639271485,0
9,TU,10,0.5027853273603916,0.13125944257848982,1.48383206672567,4.255736175261526,8.082898932795018,3.290543876755861,6.436834389201485,6.922811042215069,4.210880228235491,7.163296752248442,1.8449922607755818,7.349661758877673,0.004970055608559665,0
10,StAR:bPAC+,0,4.1834155338169525,6.982826764802317,6.557663725957561,4.9826641443832385,9.971998083900038,7.650369210823326,4.690022669933998,6.499558496339242,7.828116925039992,0.0,0.0,0.0,0.0,0
11,StAR:bPAC+,0,5.076756920368558,6.40544923192596,5.472708680073427,5.737607702345399,7.029489682772938,7.1676316545430065,6.452718191714081,5.939864011765349,6.598757851654422,0.0,0.0,0.0,0.0,0
12,StAR:bPAC+,0,5.4062752498663675,4.691714785427245,3.896525230422126,4.087467111126249,8.863051802808496,10.6211572959287,1.194064966443051,8.133644899316161,5.1392456359049286,0.0,0.0,0.0,0.0,0
13,StAR:bPAC+,0,3.662384480355492,4.594071897447005,6.248761810477413,3.4807416120431682,8.90476587163735,3.1343529092692273,2.475498300347894,3.663856492763783,10.410458231789145,0.0,0.0,0.0,0.0,0
14,StAR:bPAC+,0,5.450840062808723,4.7442160953491115,4.904876890197272,8.123304730381026,7.242727886974272,4.884245003293695,7.608369704929885,9.032686582260363,8.294231474511145,0.0,0.0,0.0,0.0,0
15,StAR:bPAC+,10,1.3803936507194194,0.6642261138537323,10.212548795656575,11.415374557408677,3.273794112037347,1.156591639593935,4.371754572847508,6.654566343817008,8.832310001639401,4.972545030822059,9.738406511464133,1.691181674252393,0.0025544876078109247,0
16,StAR:bPAC+,10,5.667408628683326,0.012949781379313121,13.639784593970031,8.920945571067488,1.7594825461581771,9.134975587884952,8.786360065546205,2.9016358993329385,15.032174753002593,9.809359343720997,2.7630147633629725,0.5520891517062279,0.0032518178234191655,0
17,StAR:bPAC+,10,6.723363731097794,0.15176898666298733,5.3186782378276645,7.48177239253345,4.368460664998519,6.282285125759649,4.606537694900462,3.151425741137392,1.572891703729078,8.216643181402556,4.439896360898986,7.614241344647228,7.4608693536760695,0
